repeat_id,pair_id,active_request_id,gpu_request_id,min_batch_barrier_enabled_phase_b,min_batch_barrier_requested_ms_phase_b,min_batch_barrier_observed_ms_phase_b,min_batch_barrier_target_requests_phase_b,min_batch_barrier_actual_requests_phase_b,min_batch_barrier_excluded_from_latency_phase_b,first_non_warmup_iter_rows,first_non_warmup_num_requests_min,first_non_warmup_num_requests_max,first_non_warmup_min_batch_target,first_non_warmup_min_batch_ok_all_ranks,raw_to_latency_submit_gap_ms_phase_b,raw_e2e_ms_including_barrier_phase_b,raw_queue_ms_including_barrier_phase_b,raw_e2ft_ms_including_barrier_phase_b,ttft_actual_raw_including_barrier_ms_phase_b,e2e_ms_phase_b,queue_ms_phase_b,ttft_ms_phase_b,tpot_ms_phase_b,tpot_token_count,ttft_actual_ms_phase_b,ttft_compute_window_ms_phase_b,ttft_request_observed_ms_phase_b,e2ft_request_observed_ms_phase_b,tpot_request_observed_ms_phase_b,prefill_time_ms_phase_b,prefill_gpu_ms_phase_b,prefill_non_gpu_wall_ms,prefill_non_gpu_wall_ratio,prefill_non_gpu_wall_percent,e2e_non_gpu_wall_ms,e2e_non_gpu_wall_ratio,e2e_non_gpu_wall_percent,ttft_non_gpu_wall_ms,ttft_non_gpu_wall_ratio,ttft_non_gpu_wall_percent,tpot_non_gpu_wall_ms,tpot_non_gpu_wall_ratio,tpot_non_gpu_wall_percent,target_input_tokens,input_tokens,input_tokens_ok,target_output_tokens,output_tokens,output_tokens_ok,e2e_gpu_ms,ttft_gpu_ms,tpot_gpu_ms,tpot_gpu_total_ms,prefill_active_thread_count,prefill_active_thread_count_edge,prefill_active_thread_count_sample_p90,prefill_active_thread_count_union,prefill_effective_cpu_cores,decode_active_thread_count_avg,decode_active_thread_count_edge_avg,decode_active_thread_count_sample_p90_avg,decode_active_thread_count_sample_max_peak,decode_active_thread_count_union_avg,decode_effective_cpu_cores_avg,decode_effective_cpu_cores_p90,decode_effective_cpu_cores_max,prefill_total_threads_mean,decode_total_threads_mean_avg,decode_total_threads_max_peak,prefill_process_cpu_delta_s,decode_process_cpu_delta_s_avg,active_decode_process_cpu_delta_total_s_est,active_total_process_cpu_delta_s_est,active_total_process_cpu_core_ms_est,active_num_decode_steps,active_decode_steps_expected,active_decode_steps_match,gpu_num_prefill_iters,gpu_num_decode_iters,gpu_decode_iters_expected,gpu_decode_iters_match,gpu_stage_classification_method,all_iters_have_expected_tp_rows
0,0,active_pair0_b16112bf-bc76-4453-9788-73e08048a1d1,gpu_pair0_4a951d55-08ac-4d9c-b205-e17ec709ff77,0,0.0,0.0,3,3,1,2,3,3,3,1,0.788,4572.451,1.393,26.681,26.681,4571.662,0.605,25.893,14.235467,255,25.893,25.288,25.288,25.893,17.826548,20.762,20.724,0.041,0.001975,0.2%,1572.905,0.344055,34.4%,5.169,0.19962,20.0%,2.561173,0.179915,18.0%,256,256,1,256,256,1,2998.757,20.724,11.678561,2978.033,4.0,4.0,3.0,4.0,543.467,3.157,3.157,2.502,4.0,3.157,410.178,519.236,628.06,131.0,131.0,131.0,0.12,0.079607843,20.299999964999998,20.419999965,20419.999965,255,255,1,1,255,255,1,scheduled_tokens,1
0,1,active_pair1_a6dd605a-a80d-426c-b578-c8cc6ed40bc6,gpu_pair1_bcc9cc97-f578-4c03-a0c2-cfcd55aafb93,0,0.0,0.0,3,3,1,2,3,3,3,1,0.455,4572.117,1.06,26.347,26.347,4571.662,0.605,25.893,14.235467,255,25.893,25.288,25.288,25.893,17.826548,20.762,20.724,0.041,0.001975,0.2%,1572.905,0.344055,34.4%,5.169,0.19962,20.0%,2.561173,0.179915,18.0%,256,256,1,256,256,1,2998.757,20.724,11.678561,2978.033,4.0,4.0,3.0,4.0,543.467,3.157,3.157,2.502,4.0,3.157,410.178,519.236,628.06,131.0,131.0,131.0,0.12,0.079607843,20.299999964999998,20.419999965,20419.999965,255,255,1,1,255,255,1,scheduled_tokens,1
0,2,active_pair2_44a6e76d-380a-46a8-b52d-aedaa1e58478,gpu_pair2_c1cd8ef8-caa2-4049-9fd0-1ccea27da7c8,0,0.0,0.0,3,3,1,2,3,3,3,1,0.21,4571.872,0.815,26.103,26.103,4571.662,0.605,25.893,14.235467,255,25.893,25.288,25.288,25.893,17.826548,20.762,20.724,0.041,0.001975,0.2%,1572.905,0.344055,34.4%,5.169,0.19962,20.0%,2.561173,0.179915,18.0%,256,256,1,256,256,1,2998.757,20.724,11.678561,2978.033,4.0,4.0,3.0,4.0,543.467,3.157,3.157,2.502,4.0,3.157,410.178,519.236,628.06,131.0,131.0,131.0,0.12,0.079607843,20.299999964999998,20.419999965,20419.999965,255,255,1,1,255,255,1,scheduled_tokens,1
1,0,active_pair0_832043be-372e-4710-a7a3-f50373dc5dc5,gpu_pair0_98213c0e-e5e4-49a9-82de-0ce6d7b0ec23,0,0.0,0.0,3,3,1,2,3,3,3,1,0.802,4579.32,1.509,26.152,26.152,4578.518,0.707,25.35,14.899298,255,25.35,24.643,24.643,25.35,17.85556,18.893,18.855,0.043,0.002276,0.2%,1534.729,0.335202,33.5%,6.495,0.256218,25.6%,3.037486,0.203868,20.4%,256,256,1,256,256,1,3043.789,18.855,11.862486,3024.934,4.0,4.0,4.0,4.0,364.606,3.251,3.251,2.565,5.0,3.251,415.46,516.007,754.658,129.0,129.0,129.0,0.08,0.080352941,20.489999955,20.569999954999997,20569.999954999996,255,255,1,1,255,255,1,scheduled_tokens,1
1,1,active_pair1_a91ed165-a762-4c09-9b70-fd7afc74bbbb,gpu_pair1_b1694b57-ed84-4c81-8ef2-6a829857639c,0,0.0,0.0,3,3,1,2,3,3,3,1,0.475,4578.994,1.182,25.826,25.826,4578.518,0.707,25.35,14.899298,255,25.35,24.643,24.643,25.35,17.85556,18.893,18.855,0.043,0.002276,0.2%,1534.729,0.335202,33.5%,6.495,0.256218,25.6%,3.037486,0.203868,20.4%,256,256,1,256,256,1,3043.789,18.855,11.862486,3024.934,4.0,4.0,4.0,4.0,364.606,3.251,3.251,2.565,5.0,3.251,415.46,516.007,754.658,129.0,129.0,129.0,0.08,0.080352941,20.489999955,20.569999954999997,20569.999954999996,255,255,1,1,255,255,1,scheduled_tokens,1
1,2,active_pair2_b0959fef-6970-48ea-96bb-a7a6159dd8c5,gpu_pair2_400f09f6-5e4a-4f0c-8af7-da9089efa2df,0,0.0,0.0,3,3,1,2,3,3,3,1,0.219,4578.737,0.926,25.569,25.569,4578.518,0.707,25.35,14.899298,255,25.35,24.643,24.643,25.35,17.85556,18.893,18.855,0.043,0.002276,0.2%,1534.729,0.335202,33.5%,6.495,0.256218,25.6%,3.037486,0.203868,20.4%,256,256,1,256,256,1,3043.789,18.855,11.862486,3024.934,4.0,4.0,4.0,4.0,364.606,3.251,3.251,2.565,5.0,3.251,415.46,516.007,754.658,129.0,129.0,129.0,0.08,0.080352941,20.489999955,20.569999954999997,20569.999954999996,255,255,1,1,255,255,1,scheduled_tokens,1
2,0,active_pair0_513064af-109e-4b13-8452-596525cf6f91,gpu_pair0_8feb2944-879f-4a44-8e96-1b879597cdfe,0,0.0,0.0,3,3,1,2,3,3,3,1,0.796,4529.264,1.401,28.118,28.118,4528.468,0.605,27.322,16.138859,255,27.322,26.717,26.717,27.322,17.651552,22.773,20.597,2.438,0.107057,10.7%,751.207,0.165885,16.6%,6.725,0.24614,24.6%,3.024369,0.187397,18.7%,256,256,1,256,256,1,3777.261,20.597,14.732016,3756.664,4.0,4.0,4.0,4.0,384.093,3.22,3.22,2.678,4.0,3.22,468.277,568.932,719.773,129.0,129.0,129.0,0.09,0.089921569,22.930000095,23.020000095,23020.000095,255,255,1,1,255,255,1,scheduled_tokens,1
2,1,active_pair1_34f8c24f-d9c6-48e7-916c-79812ee28df9,gpu_pair1_ff10f5f2-0aa5-40aa-854a-ab085961aa2c,0,0.0,0.0,3,3,1,2,3,3,3,1,0.468,4528.936,1.072,27.79,27.79,4528.468,0.605,27.322,16.138859,255,27.322,26.717,26.717,27.322,17.651552,22.773,20.597,2.438,0.107057,10.7%,751.207,0.165885,16.6%,6.725,0.24614,24.6%,3.024369,0.187397,18.7%,256,256,1,256,256,1,3777.261,20.597,14.732016,3756.664,4.0,4.0,4.0,4.0,384.093,3.22,3.22,2.678,4.0,3.22,468.277,568.932,719.773,129.0,129.0,129.0,0.09,0.089921569,22.930000095,23.020000095,23020.000095,255,255,1,1,255,255,1,scheduled_tokens,1
2,2,active_pair2_c51acd77-ade5-40b9-970e-27572623667a,gpu_pair2_581b712c-ca4c-4e08-a586-6e30a1223d82,0,0.0,0.0,3,3,1,2,3,3,3,1,0.213,4528.681,0.818,27.535,27.535,4528.468,0.605,27.322,16.138859,255,27.322,26.717,26.717,27.322,17.651552,22.773,20.597,2.438,0.107057,10.7%,751.207,0.165885,16.6%,6.725,0.24614,24.6%,3.024369,0.187397,18.7%,256,256,1,256,256,1,3777.261,20.597,14.732016,3756.664,4.0,4.0,4.0,4.0,384.093,3.22,3.22,2.678,4.0,3.22,468.277,568.932,719.773,129.0,129.0,129.0,0.09,0.089921569,22.930000095,23.020000095,23020.000095,255,255,1,1,255,255,1,scheduled_tokens,1
3,0,active_pair0_3642c7f5-97be-4c51-a3e5-d147be909744,gpu_pair0_c49982bb-2351-4792-b17c-ee189f0ee888,0,0.0,0.0,3,3,1,2,3,3,3,1,0.791,5025.346,1.904,27.953,27.953,5024.555,1.113,27.162,17.90138,255,27.162,26.049,26.049,27.162,19.597622,22.696,22.656,0.243,0.010707,1.1%,478.483,0.095229,9.5%,4.506,0.165885,16.6%,0.283722,0.015849,1.6%,256,256,1,256,256,1,4546.072,22.656,17.738886,4523.416,4.0,4.0,4.0,4.0,206.657,3.227,3.227,2.631,5.0,3.227,443.942,528.557,655.877,129.0,129.0,129.0,0.05,0.086431373,22.040000115,22.090000115000002,22090.000115000003,255,255,1,1,255,255,1,scheduled_tokens,1
