repeat_id,pair_id,active_request_id,gpu_request_id,min_batch_barrier_enabled_phase_b,min_batch_barrier_requested_ms_phase_b,min_batch_barrier_observed_ms_phase_b,min_batch_barrier_target_requests_phase_b,min_batch_barrier_actual_requests_phase_b,min_batch_barrier_excluded_from_latency_phase_b,first_non_warmup_iter_rows,first_non_warmup_num_requests_min,first_non_warmup_num_requests_max,first_non_warmup_min_batch_target,first_non_warmup_min_batch_ok_all_ranks,raw_to_latency_submit_gap_ms_phase_b,raw_e2e_ms_including_barrier_phase_b,raw_queue_ms_including_barrier_phase_b,raw_e2ft_ms_including_barrier_phase_b,ttft_actual_raw_including_barrier_ms_phase_b,e2e_ms_phase_b,queue_ms_phase_b,ttft_ms_phase_b,tpot_ms_phase_b,tpot_token_count,ttft_actual_ms_phase_b,ttft_compute_window_ms_phase_b,ttft_request_observed_ms_phase_b,e2ft_request_observed_ms_phase_b,tpot_request_observed_ms_phase_b,prefill_time_ms_phase_b,prefill_gpu_ms_phase_b,prefill_non_gpu_wall_ms,prefill_non_gpu_wall_ratio,prefill_non_gpu_wall_percent,e2e_non_gpu_wall_ms,e2e_non_gpu_wall_ratio,e2e_non_gpu_wall_percent,ttft_non_gpu_wall_ms,ttft_non_gpu_wall_ratio,ttft_non_gpu_wall_percent,tpot_non_gpu_wall_ms,tpot_non_gpu_wall_ratio,tpot_non_gpu_wall_percent,target_input_tokens,input_tokens,input_tokens_ok,target_output_tokens,output_tokens,output_tokens_ok,e2e_gpu_ms,ttft_gpu_ms,tpot_gpu_ms,tpot_gpu_total_ms,prefill_active_thread_count,prefill_active_thread_count_edge,prefill_active_thread_count_sample_p90,prefill_active_thread_count_union,prefill_effective_cpu_cores,decode_active_thread_count_avg,decode_active_thread_count_edge_avg,decode_active_thread_count_sample_p90_avg,decode_active_thread_count_sample_max_peak,decode_active_thread_count_union_avg,decode_effective_cpu_cores_avg,decode_effective_cpu_cores_p90,decode_effective_cpu_cores_max,prefill_total_threads_mean,decode_total_threads_mean_avg,decode_total_threads_max_peak,prefill_process_cpu_delta_s,decode_process_cpu_delta_s_avg,active_decode_process_cpu_delta_total_s_est,active_total_process_cpu_delta_s_est,active_total_process_cpu_core_ms_est,active_num_decode_steps,active_decode_steps_expected,active_decode_steps_match,gpu_num_prefill_iters,gpu_num_decode_iters,gpu_decode_iters_expected,gpu_decode_iters_match,gpu_stage_classification_method,all_iters_have_expected_tp_rows
0,0,active_pair0_9c2cbed7-10b2-49cc-b8f0-6d1783cf1db3,gpu_pair0_2bb5abe5-de81-42cb-899a-97f453cd7308,0,0.0,0.0,3,3,1,2,3,3,3,1,0.812,3278.864,0.964,26.172,26.172,3278.052,0.152,25.36,11.512541,255,25.36,25.209,25.209,25.36,12.755653,18.8,18.763,0.038,0.002021,0.2%,333.198,0.101645,10.2%,6.597,0.260143,26.0%,0.038255,0.003323,0.3%,256,256,1,256,256,1,2944.854,18.763,11.474867,2926.091,4.0,4.0,3.0,4.0,422.146,3.235,3.235,2.639,4.0,3.235,444.683,548.213,718.181,133.0,133.0,133.0,0.09,0.081921569,20.890000095,20.980000095,20980.000095,255,255,1,1,255,255,1,scheduled_tokens,1
0,1,active_pair1_2988f54c-2425-4218-bd96-17d67e69100d,gpu_pair1_fc5b58d2-54e2-47f5-99ed-b7691c6f122f,0,0.0,0.0,3,3,1,2,3,3,3,1,0.472,3278.524,0.624,25.833,25.833,3278.052,0.152,25.36,11.512541,255,25.36,25.209,25.209,25.36,12.755653,18.8,18.763,0.038,0.002021,0.2%,333.198,0.101645,10.2%,6.597,0.260143,26.0%,0.038255,0.003323,0.3%,256,256,1,256,256,1,2944.854,18.763,11.474867,2926.091,4.0,4.0,3.0,4.0,422.146,3.235,3.235,2.639,4.0,3.235,444.683,548.213,718.181,133.0,133.0,133.0,0.09,0.081921569,20.890000095,20.980000095,20980.000095,255,255,1,1,255,255,1,scheduled_tokens,1
0,2,active_pair2_38149cc9-310a-4812-bf5f-f7b61605feb7,gpu_pair2_3bfa512f-2bf1-43c9-98c1-197c52218e66,0,0.0,0.0,3,3,1,2,3,3,3,1,0.217,3278.269,0.369,25.577,25.577,3278.052,0.152,25.36,11.512541,255,25.36,25.209,25.209,25.36,12.755653,18.8,18.763,0.038,0.002021,0.2%,333.198,0.101645,10.2%,6.597,0.260143,26.0%,0.038255,0.003323,0.3%,256,256,1,256,256,1,2944.854,18.763,11.474867,2926.091,4.0,4.0,3.0,4.0,422.146,3.235,3.235,2.639,4.0,3.235,444.683,548.213,718.181,133.0,133.0,133.0,0.09,0.081921569,20.890000095,20.980000095,20980.000095,255,255,1,1,255,255,1,scheduled_tokens,1
1,0,active_pair0_9da73ec8-cf42-4345-ae9a-a58a781ddd52,gpu_pair0_8357b70f-75e2-4f08-972e-d2aeaa2583de,0,0.0,0.0,3,3,1,2,3,3,3,1,0.817,3272.142,0.968,32.023,32.023,3271.325,0.15,31.205,11.532573,255,31.205,31.055,31.055,31.205,12.706351,18.922,18.885,0.038,0.002008,0.2%,321.347,0.098231,9.8%,12.32,0.394816,39.5%,0.039161,0.003396,0.3%,256,256,1,256,256,1,2949.978,18.885,11.494482,2931.093,4.0,4.0,3.0,4.0,546.515,3.275,3.275,2.651,4.0,3.275,439.902,558.393,702.18,129.0,129.0,129.0,0.12,0.081843137,20.869999935,20.989999935,20989.999935,255,255,1,1,255,255,1,scheduled_tokens,1
1,1,active_pair1_39e3c166-35d9-4c78-9832-0aed6c8b3565,gpu_pair1_df3f130e-e5d5-4180-a47a-b50afc7c377f,0,0.0,0.0,3,3,1,2,3,3,3,1,0.481,3271.806,0.631,31.686,31.686,3271.325,0.15,31.205,11.532573,255,31.205,31.055,31.055,31.205,12.706351,18.922,18.885,0.038,0.002008,0.2%,321.347,0.098231,9.8%,12.32,0.394816,39.5%,0.039161,0.003396,0.3%,256,256,1,256,256,1,2949.978,18.885,11.494482,2931.093,4.0,4.0,3.0,4.0,546.515,3.275,3.275,2.651,4.0,3.275,439.902,558.393,702.18,129.0,129.0,129.0,0.12,0.081843137,20.869999935,20.989999935,20989.999935,255,255,1,1,255,255,1,scheduled_tokens,1
1,2,active_pair2_f4fa6426-b1ba-4105-8fc9-eff7ae5af229,gpu_pair2_d9db31aa-ac69-4719-a308-7e133488d90a,0,0.0,0.0,3,3,1,2,3,3,3,1,0.223,3271.548,0.373,31.428,31.428,3271.325,0.15,31.205,11.532573,255,31.205,31.055,31.055,31.205,12.706351,18.922,18.885,0.038,0.002008,0.2%,321.347,0.098231,9.8%,12.32,0.394816,39.5%,0.039161,0.003396,0.3%,256,256,1,256,256,1,2949.978,18.885,11.494482,2931.093,4.0,4.0,3.0,4.0,546.515,3.275,3.275,2.651,4.0,3.275,439.902,558.393,702.18,129.0,129.0,129.0,0.12,0.081843137,20.869999935,20.989999935,20989.999935,255,255,1,1,255,255,1,scheduled_tokens,1
2,0,active_pair0_5189164a-0939-4d6b-8485-717fdea4da7b,gpu_pair0_42e4a307-80d5-4985-a999-fef3a58ed990,0,0.0,0.0,3,3,1,2,3,3,3,1,0.807,3284.944,0.958,27.694,27.694,3284.137,0.15,26.887,11.525753,255,26.887,26.736,26.736,26.887,12.77353,18.925,18.887,0.038,0.002008,0.2%,335.875,0.102272,10.2%,8.0,0.297533,29.8%,0.038882,0.003374,0.3%,256,256,1,256,256,1,2948.262,18.887,11.487745,2929.375,4.0,4.0,4.0,4.0,420.165,3.259,3.259,2.675,4.0,3.259,425.338,538.174,687.07,129.0,129.0,129.0,0.09,0.080509804,20.530000020000003,20.620000020000003,20620.000020000003,255,255,1,1,255,255,1,scheduled_tokens,1
2,1,active_pair1_6cec9673-ee99-451b-b031-e455d0840b59,gpu_pair1_54f8c215-f6ee-4bd0-b4bf-9442851754eb,0,0.0,0.0,3,3,1,2,3,3,3,1,0.463,3284.6,0.613,27.349,27.349,3284.137,0.15,26.887,11.525753,255,26.887,26.736,26.736,26.887,12.77353,18.925,18.887,0.038,0.002008,0.2%,335.875,0.102272,10.2%,8.0,0.297533,29.8%,0.038882,0.003374,0.3%,256,256,1,256,256,1,2948.262,18.887,11.487745,2929.375,4.0,4.0,4.0,4.0,420.165,3.259,3.259,2.675,4.0,3.259,425.338,538.174,687.07,129.0,129.0,129.0,0.09,0.080509804,20.530000020000003,20.620000020000003,20620.000020000003,255,255,1,1,255,255,1,scheduled_tokens,1
2,2,active_pair2_b08f85f6-299a-4c06-ae47-c38f3bd04052,gpu_pair2_86ec57af-f46d-49cf-9205-68852c7c4e62,0,0.0,0.0,3,3,1,2,3,3,3,1,0.213,3284.35,0.363,27.1,27.1,3284.137,0.15,26.887,11.525753,255,26.887,26.736,26.736,26.887,12.77353,18.925,18.887,0.038,0.002008,0.2%,335.875,0.102272,10.2%,8.0,0.297533,29.8%,0.038882,0.003374,0.3%,256,256,1,256,256,1,2948.262,18.887,11.487745,2929.375,4.0,4.0,4.0,4.0,420.165,3.259,3.259,2.675,4.0,3.259,425.338,538.174,687.07,129.0,129.0,129.0,0.09,0.080509804,20.530000020000003,20.620000020000003,20620.000020000003,255,255,1,1,255,255,1,scheduled_tokens,1
3,0,active_pair0_f79736bd-f1f6-4aaf-bb0d-ab11b8285e07,gpu_pair0_d739facb-7d24-4835-a6b0-7a404f3b3772,0,0.0,0.0,3,3,1,2,3,3,3,1,0.815,3284.002,0.964,33.442,33.442,3283.187,0.15,32.627,11.533812,255,32.627,32.478,32.478,32.627,12.747293,18.826,18.791,0.036,0.001912,0.2%,332.638,0.101316,10.1%,13.836,0.424068,42.4%,0.037341,0.003238,0.3%,256,256,1,256,256,1,2950.549,18.791,11.49709,2931.758,4.0,4.0,3.0,4.0,464.992,3.243,3.243,2.698,5.0,3.243,420.611,541.319,656.418,129.0,129.0,129.0,0.1,0.078156863,19.930000064999998,20.030000065,20030.000065,255,255,1,1,255,255,1,scheduled_tokens,1
