repeat_id,metric,count,avg,std,min,median,t90,p95,p99,max
0,e2e_ms_phase_b,3,3278.052,0.0,3278.052,3278.052,3278.052,3278.052,3278.052,3278.052
0,ttft_ms_phase_b,3,25.36,0.0,25.36,25.36,25.36,25.36,25.36,25.36
0,tpot_ms_phase_b,3,11.512541,0.0,11.512541,11.512541,11.512541,11.512541,11.512541,11.512541
0,prefill_time_ms_phase_b,3,18.8,0.0,18.8,18.8,18.8,18.8,18.8,18.8
0,ttft_compute_window_ms_phase_b,3,25.209,0.0,25.209,25.209,25.209,25.209,25.209,25.209
0,e2e_non_gpu_wall_ms,3,333.198,0.0,333.198,333.198,333.198,333.198,333.198,333.198
0,ttft_non_gpu_wall_ms,3,6.597,0.0,6.597,6.597,6.597,6.597,6.597,6.597
0,tpot_non_gpu_wall_ms,3,0.038255,0.0,0.038255,0.038255,0.038255,0.038255,0.038255,0.038255
0,prefill_non_gpu_wall_ms,3,0.038,0.0,0.038,0.038,0.038,0.038,0.038,0.038
0,e2e_non_gpu_wall_ratio,3,0.101645,0.0,0.101645,0.101645,0.101645,0.101645,0.101645,0.101645
0,ttft_non_gpu_wall_ratio,3,0.260143,0.0,0.260143,0.260143,0.260143,0.260143,0.260143,0.260143
0,tpot_non_gpu_wall_ratio,3,0.003323,0.0,0.003323,0.003323,0.003323,0.003323,0.003323,0.003323
0,prefill_non_gpu_wall_ratio,3,0.002021,0.0,0.002021,0.002021,0.002021,0.002021,0.002021,0.002021
0,queue_ms_phase_b,3,0.152,0.0,0.152,0.152,0.152,0.152,0.152,0.152
0,min_batch_barrier_observed_ms_phase_b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,first_non_warmup_num_requests_max,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
0,first_non_warmup_min_batch_ok_all_ranks,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,raw_to_latency_submit_gap_ms_phase_b,3,0.5003333333333334,0.298510189664161,0.217,0.472,0.744,0.778,0.8052,0.812
0,raw_e2e_ms_including_barrier_phase_b,3,3278.552333333333,0.2985101896642887,3278.269,3278.524,3278.796,3278.83,3278.8572,3278.864
0,raw_e2ft_ms_including_barrier_phase_b,3,25.860666666666663,0.2984632864077809,25.577,25.833,26.1042,26.1381,26.16522,26.172
0,prefill_active_thread_count,3,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
0,prefill_active_thread_count_edge,3,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
0,prefill_active_thread_count_sample_p90,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
0,prefill_active_thread_count_union,3,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
0,prefill_effective_cpu_cores,3,422.146,0.0,422.146,422.146,422.146,422.146,422.146,422.146
0,decode_active_thread_count_avg,3,3.235,0.0,3.235,3.235,3.235,3.235,3.235,3.235
0,decode_active_thread_count_edge_avg,3,3.235,0.0,3.235,3.235,3.235,3.235,3.235,3.235
0,decode_active_thread_count_sample_p90_avg,3,2.639,0.0,2.639,2.639,2.639,2.639,2.639,2.639
0,decode_active_thread_count_sample_max_peak,3,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
0,decode_active_thread_count_union_avg,3,3.235,0.0,3.235,3.235,3.235,3.235,3.235,3.235
0,decode_effective_cpu_cores_avg,3,444.683,0.0,444.683,444.683,444.683,444.683,444.683,444.683
0,decode_effective_cpu_cores_p90,3,548.213,0.0,548.213,548.213,548.213,548.213,548.213,548.213
0,decode_effective_cpu_cores_max,3,718.181,0.0,718.181,718.181,718.181,718.181,718.181,718.181
0,prefill_total_threads_mean,3,133.0,0.0,133.0,133.0,133.0,133.0,133.0,133.0
0,decode_total_threads_mean_avg,3,133.0,0.0,133.0,133.0,133.0,133.0,133.0,133.0
