pair_id,metric,count,avg,std,min,median,t90,p95,p99,max
0,e2e_ms_phase_b,10,3340.389,24.40579222233934,3304.409,3338.9575,3370.9233,3371.8651499999996,3372.61863,3372.807
0,ttft_ms_phase_b,10,132.6203,110.42599791418887,27.24,102.043,303.85179999999997,316.2709,326.20618,328.69
0,tpot_ms_phase_b,10,11.6178061,0.06458238597576117,11.514616,11.652066999999999,11.664763899999999,11.66943895,11.67317899,11.674114
0,prefill_time_ms_phase_b,10,18.945899999999998,0.14816166095781244,18.77,18.911,19.0681,19.17205,19.25521,19.276
0,ttft_compute_window_ms_phase_b,10,132.4631,110.42777841693638,27.084,101.888,303.6967,316.11535,326.05027,328.534
0,e2e_non_gpu_wall_ms,10,369.4315,14.055910573689474,354.076,363.3915,389.3568,390.1119,390.71598,390.867
0,ttft_non_gpu_wall_ms,10,113.7132,110.37224495396374,8.451,83.178,284.6468,297.21439999999996,307.26848,309.782
0,tpot_non_gpu_wall_ms,10,0.0431596,0.005637313114911709,0.037867,0.0411845,0.048637299999999994,0.05270664999999999,0.05596213,0.056776
0,prefill_non_gpu_wall_ms,10,0.04059999999999999,0.001646545204697129,0.038,0.0405,0.0422,0.0431,0.04382,0.044
0,e2e_non_gpu_wall_ratio,10,0.1105788,0.00359136027463442,0.10616,0.10922950000000001,0.1155176,0.11576779999999999,0.11596796,0.116018
0,ttft_non_gpu_wall_ratio,10,0.7124473,0.23585997321482932,0.310237,0.8113015,0.9367428999999999,0.93960895,0.94190179,0.942475
0,tpot_non_gpu_wall_ratio,10,0.0037135999999999996,0.0004733303286289608,0.003289,0.003531,0.0041697,0.004519349999999999,0.00479907,0.004869
0,prefill_non_gpu_wall_ratio,10,0.0021431,8.722314932274448e-05,0.002025,0.002138,0.0022277,0.00228035,0.00232247,0.002333
0,queue_ms_phase_b,10,0.15699999999999997,0.0032317865716108888,0.153,0.156,0.1611,0.16155,0.16191,0.162
0,min_batch_barrier_observed_ms_phase_b,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,first_non_warmup_num_requests_max,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
