repeat_id,metric,count,avg,std,min,median,t90,p95,p99,max
0,e2e_ms_phase_b,3,3341.822,0.0,3341.822,3341.822,3341.822,3341.822,3341.822,3341.822
0,ttft_ms_phase_b,3,87.86200000000001,1.7404671430534633e-14,87.862,87.862,87.862,87.862,87.862,87.862
0,tpot_ms_phase_b,3,11.652875,0.0,11.652875,11.652875,11.652875,11.652875,11.652875,11.652875
0,prefill_time_ms_phase_b,3,19.037,0.0,19.037,19.037,19.037,19.037,19.037,19.037
0,ttft_compute_window_ms_phase_b,3,87.705,0.0,87.705,87.705,87.705,87.705,87.705,87.705
0,e2e_non_gpu_wall_ms,3,361.05199999999996,6.961868572213853e-14,361.052,361.052,361.052,361.052,361.052,361.052
0,ttft_non_gpu_wall_ms,3,68.864,0.0,68.864,68.864,68.864,68.864,68.864,68.864
0,tpot_non_gpu_wall_ms,3,0.040808,0.0,0.040808,0.040808,0.040808,0.040808,0.040808,0.040808
0,prefill_non_gpu_wall_ms,3,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04
0,e2e_non_gpu_wall_ratio,3,0.10803999999999998,1.6996749443881478e-17,0.10804,0.10804,0.10804,0.10804,0.10804,0.10804
0,ttft_non_gpu_wall_ratio,3,0.783775,0.0,0.783775,0.783775,0.783775,0.783775,0.783775,0.783775
0,tpot_non_gpu_wall_ratio,3,0.003502,0.0,0.003502,0.003502,0.003502,0.003502,0.003502,0.003502
0,prefill_non_gpu_wall_ratio,3,0.002101,0.0,0.002101,0.002101,0.002101,0.002101,0.002101,0.002101
0,queue_ms_phase_b,3,0.157,0.0,0.157,0.157,0.157,0.157,0.157,0.157
0,min_batch_barrier_observed_ms_phase_b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,first_non_warmup_num_requests_max,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
0,first_non_warmup_min_batch_ok_all_ranks,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,raw_to_latency_submit_gap_ms_phase_b,3,0.5156666666666667,0.30544121092827886,0.225,0.488,0.7647999999999999,0.7993999999999999,0.8270799999999999,0.834
0,raw_e2e_ms_including_barrier_phase_b,3,3342.337666666667,0.30544121092824267,3342.047,3342.31,3342.5868,3342.6214,3342.64908,3342.656
0,raw_e2ft_ms_including_barrier_phase_b,3,88.37766666666666,0.3054412109282765,88.087,88.35,88.6268,88.6614,88.68908,88.696
0,prefill_active_thread_count,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
0,prefill_active_thread_count_edge,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
0,prefill_active_thread_count_sample_p90,3,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
0,prefill_active_thread_count_union,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
0,prefill_effective_cpu_cores,3,570.06,0.0,570.06,570.06,570.06,570.06,570.06,570.06
0,decode_active_thread_count_avg,3,3.275,0.0,3.275,3.275,3.275,3.275,3.275,3.275
0,decode_active_thread_count_edge_avg,3,3.275,0.0,3.275,3.275,3.275,3.275,3.275,3.275
0,decode_active_thread_count_sample_p90_avg,3,2.68,0.0,2.68,2.68,2.68,2.68,2.68,2.68
0,decode_active_thread_count_sample_max_peak,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
0,decode_active_thread_count_union_avg,3,3.275,0.0,3.275,3.275,3.275,3.275,3.275,3.275
0,decode_effective_cpu_cores_avg,3,388.626,0.0,388.626,388.626,388.626,388.626,388.626,388.626
0,decode_effective_cpu_cores_p90,3,523.237,0.0,523.237,523.237,523.237,523.237,523.237,523.237
0,decode_effective_cpu_cores_max,3,704.9429999999999,1.3923737144427707e-13,704.943,704.943,704.943,704.943,704.943,704.943
0,prefill_total_threads_mean,3,161.0,0.0,161.0,161.0,161.0,161.0,161.0,161.0
0,decode_total_threads_mean_avg,3,161.0,0.0,161.0,161.0,161.0,161.0,161.0,161.0
0,decode_total_threads_max_peak,3,161.0,0.0,161.0,161.0,161.0,161.0,161.0,161.0
1,e2e_ms_phase_b,3,3372.8069999999993,5.569494857771083e-13,3372.807,3372.807,3372.807,3372.807,3372.807,3372.807
1,ttft_ms_phase_b,3,38.929,0.0,38.929,38.929,38.929,38.929,38.929,38.929
1,tpot_ms_phase_b,3,11.674113999999998,2.175583928816829e-15,11.674114,11.674114,11.674114,11.674114,11.674114,11.674114
1,prefill_time_ms_phase_b,3,18.872,0.0,18.872,18.872,18.872,18.872,18.872,18.872
1,ttft_compute_window_ms_phase_b,3,38.766,0.0,38.766,38.766,38.766,38.766,38.766,38.766
1,e2e_non_gpu_wall_ms,3,386.635,0.0,386.635,386.635,386.635,386.635,386.635,386.635
1,ttft_non_gpu_wall_ms,3,20.094,0.0,20.094,20.094,20.094,20.094,20.094,20.094
1,tpot_non_gpu_wall_ms,3,0.041561,0.0,0.041561,0.041561,0.041561,0.041561,0.041561,0.041561
1,prefill_non_gpu_wall_ms,3,0.041,0.0,0.041,0.041,0.041,0.041,0.041,0.041
1,e2e_non_gpu_wall_ratio,3,0.114633,0.0,0.114633,0.114633,0.114633,0.114633,0.114633,0.114633
1,ttft_non_gpu_wall_ratio,3,0.516167,0.0,0.516167,0.516167,0.516167,0.516167,0.516167,0.516167
1,tpot_non_gpu_wall_ratio,3,0.0035599999999999994,5.311484201212962e-19,0.00356,0.00356,0.00356,0.00356,0.00356,0.00356
1,prefill_non_gpu_wall_ratio,3,0.002173,0.0,0.002173,0.002173,0.002173,0.002173,0.002173,0.002173
1,queue_ms_phase_b,3,0.162,0.0,0.162,0.162,0.162,0.162,0.162,0.162
1,min_batch_barrier_observed_ms_phase_b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,first_non_warmup_num_requests_max,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
1,first_non_warmup_min_batch_ok_all_ranks,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,raw_to_latency_submit_gap_ms_phase_b,3,0.5003333333333334,0.29737574435944397,0.217,0.474,0.7428,0.7764,0.80328,0.81
1,raw_e2e_ms_including_barrier_phase_b,3,3373.3079999999995,0.2978523123966119,3373.024,3373.282,3373.5508,3373.5843999999997,3373.61128,3373.618
1,raw_e2ft_ms_including_barrier_phase_b,3,39.42933333333333,0.29737574435944214,39.146,39.403,39.6718,39.7054,39.732279999999996,39.739
1,prefill_active_thread_count,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
1,prefill_active_thread_count_edge,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
1,prefill_active_thread_count_sample_p90,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
1,prefill_active_thread_count_union,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
1,prefill_effective_cpu_cores,3,441.441,0.0,441.441,441.441,441.441,441.441,441.441,441.441
1,decode_active_thread_count_avg,3,3.471,0.0,3.471,3.471,3.471,3.471,3.471,3.471
1,decode_active_thread_count_edge_avg,3,3.471,0.0,3.471,3.471,3.471,3.471,3.471,3.471
1,decode_active_thread_count_sample_p90_avg,3,2.811,0.0,2.811,2.811,2.811,2.811,2.811,2.811
1,decode_active_thread_count_sample_max_peak,3,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
1,decode_active_thread_count_union_avg,3,3.471,0.0,3.471,3.471,3.471,3.471,3.471,3.471
1,decode_effective_cpu_cores_avg,3,432.74500000000006,6.961868572213853e-14,432.745,432.745,432.745,432.745,432.745,432.745
1,decode_effective_cpu_cores_p90,3,601.346,0.0,601.346,601.346,601.346,601.346,601.346,601.346
1,decode_effective_cpu_cores_max,3,721.791,0.0,721.791,721.791,721.791,721.791,721.791,721.791
1,prefill_total_threads_mean,3,129.0,0.0,129.0,129.0,129.0,129.0,129.0,129.0
1,decode_total_threads_mean_avg,3,129.0,0.0,129.0,129.0,129.0,129.0,129.0,129.0
1,decode_total_threads_max_peak,3,129.0,0.0,129.0,129.0,129.0,129.0,129.0,129.0
2,e2e_ms_phase_b,3,3341.878,0.0,3341.878,3341.878,3341.878,3341.878,3341.878,3341.878
2,ttft_ms_phase_b,3,328.69,0.0,328.69,328.69,328.69,328.69,328.69,328.69
2,tpot_ms_phase_b,3,11.661223999999999,2.175583928816829e-15,11.661224,11.661224,11.661224,11.661224,11.661224,11.661224
2,prefill_time_ms_phase_b,3,18.95,0.0,18.95,18.95,18.95,18.95,18.95,18.95
2,ttft_compute_window_ms_phase_b,3,328.534,0.0,328.534,328.534,328.534,328.534,328.534,328.534
2,e2e_non_gpu_wall_ms,3,363.27299999999997,6.961868572213853e-14,363.273,363.273,363.273,363.273,363.273,363.273
2,ttft_non_gpu_wall_ms,3,309.782,0.0,309.782,309.782,309.782,309.782,309.782,309.782
2,tpot_non_gpu_wall_ms,3,0.056776,0.0,0.056776,0.056776,0.056776,0.056776,0.056776,0.056776
2,prefill_non_gpu_wall_ms,3,0.042,0.0,0.042,0.042,0.042,0.042,0.042,0.042
2,e2e_non_gpu_wall_ratio,3,0.108703,0.0,0.108703,0.108703,0.108703,0.108703,0.108703,0.108703
2,ttft_non_gpu_wall_ratio,3,0.942475,0.0,0.942475,0.942475,0.942475,0.942475,0.942475,0.942475
2,tpot_non_gpu_wall_ratio,3,0.004869,0.0,0.004869,0.004869,0.004869,0.004869,0.004869,0.004869
2,prefill_non_gpu_wall_ratio,3,0.002216,0.0,0.002216,0.002216,0.002216,0.002216,0.002216,0.002216
2,queue_ms_phase_b,3,0.156,0.0,0.156,0.156,0.156,0.156,0.156,0.156
2,min_batch_barrier_observed_ms_phase_b,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,first_non_warmup_num_requests_max,3,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
