repeat_id,pair_id,active_request_id,gpu_request_id,min_batch_barrier_enabled_phase_b,min_batch_barrier_requested_ms_phase_b,min_batch_barrier_observed_ms_phase_b,min_batch_barrier_target_requests_phase_b,min_batch_barrier_actual_requests_phase_b,min_batch_barrier_excluded_from_latency_phase_b,first_non_warmup_iter_rows,first_non_warmup_num_requests_min,first_non_warmup_num_requests_max,first_non_warmup_min_batch_target,first_non_warmup_min_batch_ok_all_ranks,raw_to_latency_submit_gap_ms_phase_b,raw_e2e_ms_including_barrier_phase_b,raw_queue_ms_including_barrier_phase_b,raw_e2ft_ms_including_barrier_phase_b,ttft_actual_raw_including_barrier_ms_phase_b,e2e_ms_phase_b,queue_ms_phase_b,ttft_ms_phase_b,tpot_ms_phase_b,tpot_token_count,ttft_actual_ms_phase_b,ttft_compute_window_ms_phase_b,ttft_request_observed_ms_phase_b,e2ft_request_observed_ms_phase_b,tpot_request_observed_ms_phase_b,prefill_time_ms_phase_b,prefill_gpu_ms_phase_b,prefill_non_gpu_wall_ms,prefill_non_gpu_wall_ratio,prefill_non_gpu_wall_percent,e2e_non_gpu_wall_ms,e2e_non_gpu_wall_ratio,e2e_non_gpu_wall_percent,ttft_non_gpu_wall_ms,ttft_non_gpu_wall_ratio,ttft_non_gpu_wall_percent,tpot_non_gpu_wall_ms,tpot_non_gpu_wall_ratio,tpot_non_gpu_wall_percent,target_input_tokens,input_tokens,input_tokens_ok,target_output_tokens,output_tokens,output_tokens_ok,e2e_gpu_ms,ttft_gpu_ms,tpot_gpu_ms,tpot_gpu_total_ms,prefill_active_thread_count,prefill_active_thread_count_edge,prefill_active_thread_count_sample_p90,prefill_active_thread_count_union,prefill_effective_cpu_cores,decode_active_thread_count_avg,decode_active_thread_count_edge_avg,decode_active_thread_count_sample_p90_avg,decode_active_thread_count_sample_max_peak,decode_active_thread_count_union_avg,decode_effective_cpu_cores_avg,decode_effective_cpu_cores_p90,decode_effective_cpu_cores_max,prefill_total_threads_mean,decode_total_threads_mean_avg,decode_total_threads_max_peak,prefill_process_cpu_delta_s,decode_process_cpu_delta_s_avg,active_decode_process_cpu_delta_total_s_est,active_total_process_cpu_delta_s_est,active_total_process_cpu_core_ms_est,active_num_decode_steps,active_decode_steps_expected,active_decode_steps_match,gpu_num_prefill_iters,gpu_num_decode_iters,gpu_decode_iters_expected,gpu_decode_iters_match,gpu_stage_classification_method,all_iters_have_expected_tp_rows
0,0,active_pair0_7c39f981-023f-449f-9cbc-1822a9306e74,gpu_pair0_ae089c72-adbd-4b63-b8f1-ee7cdcf7e132,0,0.0,0.0,3,3,1,2,3,3,3,1,0.834,3342.656,0.991,88.696,88.696,3341.822,0.157,87.862,11.652875,255,87.862,87.705,87.705,87.862,12.760626,19.037,18.998,0.04,0.002101,0.2%,361.052,0.10804,10.8%,68.864,0.783775,78.4%,0.040808,0.003502,0.4%,256,256,1,256,256,1,2980.77,18.998,11.614792,2961.772,5.0,5.0,4.0,5.0,570.06,3.275,3.275,2.68,5.0,3.275,388.626,523.237,704.943,161.0,161.0,161.0,0.12,0.104470588,26.63999994,26.75999994,26759.99994,255,255,1,1,255,255,1,scheduled_tokens,1
0,1,active_pair1_a5c47d73-fb26-417c-b531-c624550a525b,gpu_pair1_70c8ef59-d811-47b3-bd3d-0089e01945b0,0,0.0,0.0,3,3,1,2,3,3,3,1,0.488,3342.31,0.645,88.35,88.35,3341.822,0.157,87.862,11.652875,255,87.862,87.705,87.705,87.862,12.760626,19.037,18.998,0.04,0.002101,0.2%,361.052,0.10804,10.8%,68.864,0.783775,78.4%,0.040808,0.003502,0.4%,256,256,1,256,256,1,2980.77,18.998,11.614792,2961.772,5.0,5.0,4.0,5.0,570.06,3.275,3.275,2.68,5.0,3.275,388.626,523.237,704.943,161.0,161.0,161.0,0.12,0.104470588,26.63999994,26.75999994,26759.99994,255,255,1,1,255,255,1,scheduled_tokens,1
0,2,active_pair2_998bb826-84d7-463a-9937-f242c81afeec,gpu_pair2_ffd1a383-e131-4f6e-a1f8-78112c185c32,0,0.0,0.0,3,3,1,2,3,3,3,1,0.225,3342.047,0.381,88.087,88.087,3341.822,0.157,87.862,11.652875,255,87.862,87.705,87.705,87.862,12.760626,19.037,18.998,0.04,0.002101,0.2%,361.052,0.10804,10.8%,68.864,0.783775,78.4%,0.040808,0.003502,0.4%,256,256,1,256,256,1,2980.77,18.998,11.614792,2961.772,5.0,5.0,4.0,5.0,570.06,3.275,3.275,2.68,5.0,3.275,388.626,523.237,704.943,161.0,161.0,161.0,0.12,0.104470588,26.63999994,26.75999994,26759.99994,255,255,1,1,255,255,1,scheduled_tokens,1
1,0,active_pair0_ef63e8e1-c54a-420c-9d03-a9d538c546ae,gpu_pair0_d3eb36c1-b7d5-4696-b4cb-b7acb535f90d,0,0.0,0.0,3,3,1,2,3,3,3,1,0.81,3373.618,0.973,39.739,39.739,3372.807,0.162,38.929,11.674114,255,38.929,38.766,38.766,38.929,13.074034,18.872,18.835,0.041,0.002173,0.2%,386.635,0.114633,11.5%,20.094,0.516167,51.6%,0.041561,0.00356,0.4%,256,256,1,256,256,1,2986.172,18.835,11.636616,2967.337,5.0,5.0,5.0,5.0,441.441,3.471,3.471,2.811,5.0,3.471,432.745,601.346,721.791,129.0,129.0,129.0,0.11,0.089843137,22.909999935000002,23.019999935,23019.999935,255,255,1,1,255,255,1,scheduled_tokens,1
1,1,active_pair1_d00a2ea2-af2e-4686-a36d-cbf80deb1262,gpu_pair1_806ab814-46b9-4c08-950a-f43357d9baae,0,0.0,0.0,3,3,1,2,3,3,3,1,0.474,3373.282,0.636,39.403,39.403,3372.807,0.162,38.929,11.674114,255,38.929,38.766,38.766,38.929,13.074034,18.872,18.835,0.041,0.002173,0.2%,386.635,0.114633,11.5%,20.094,0.516167,51.6%,0.041561,0.00356,0.4%,256,256,1,256,256,1,2986.172,18.835,11.636616,2967.337,5.0,5.0,5.0,5.0,441.441,3.471,3.471,2.811,5.0,3.471,432.745,601.346,721.791,129.0,129.0,129.0,0.11,0.089843137,22.909999935000002,23.019999935,23019.999935,255,255,1,1,255,255,1,scheduled_tokens,1
1,2,active_pair2_2fd58237-5157-492d-a38d-3ee72561af28,gpu_pair2_de94915c-4ff8-46e2-8b06-de1ef46efe5c,0,0.0,0.0,3,3,1,2,3,3,3,1,0.217,3373.024,0.379,39.146,39.146,3372.807,0.162,38.929,11.674114,255,38.929,38.766,38.766,38.929,13.074034,18.872,18.835,0.041,0.002173,0.2%,386.635,0.114633,11.5%,20.094,0.516167,51.6%,0.041561,0.00356,0.4%,256,256,1,256,256,1,2986.172,18.835,11.636616,2967.337,5.0,5.0,5.0,5.0,441.441,3.471,3.471,2.811,5.0,3.471,432.745,601.346,721.791,129.0,129.0,129.0,0.11,0.089843137,22.909999935000002,23.019999935,23019.999935,255,255,1,1,255,255,1,scheduled_tokens,1
2,0,active_pair0_f5dcea5b-8140-4132-8b7f-4d72814c3ab2,gpu_pair0_9c3840f8-ae3e-4d48-8758-483b191fb495,0,0.0,0.0,3,3,1,2,3,3,3,1,0.797,3342.674,0.952,329.486,329.486,3341.878,0.156,328.69,11.661224,255,328.69,328.534,328.534,328.69,11.816424,18.95,18.908,0.042,0.002216,0.2%,363.273,0.108703,10.9%,309.782,0.942475,94.2%,0.056776,0.004869,0.5%,256,256,1,256,256,1,2978.605,18.908,11.606655,2959.697,5.0,5.0,4.0,5.0,9.231,3.553,3.553,2.859,5.0,3.553,445.05,591.524,695.723,129.0,129.0,129.0,0.11,0.085960784,21.91999992,22.029999919999998,22029.99992,255,255,1,1,255,255,1,scheduled_tokens,1
2,1,active_pair1_feba9f95-f817-482e-bbab-c367e3366c92,gpu_pair1_c988e040-9f48-4acd-bbf2-3b8d2c4695f8,0,0.0,0.0,3,3,1,2,3,3,3,1,0.471,3342.349,0.627,329.161,329.161,3341.878,0.156,328.69,11.661224,255,328.69,328.534,328.534,328.69,11.816424,18.95,18.908,0.042,0.002216,0.2%,363.273,0.108703,10.9%,309.782,0.942475,94.2%,0.056776,0.004869,0.5%,256,256,1,256,256,1,2978.605,18.908,11.606655,2959.697,5.0,5.0,4.0,5.0,9.231,3.553,3.553,2.859,5.0,3.553,445.05,591.524,695.723,129.0,129.0,129.0,0.11,0.085960784,21.91999992,22.029999919999998,22029.99992,255,255,1,1,255,255,1,scheduled_tokens,1
2,2,active_pair2_ba9db7cb-1ac7-44af-b368-08075dd4ce1a,gpu_pair2_63f963b7-ac96-4c13-89f4-51b726deb44c,0,0.0,0.0,3,3,1,2,3,3,3,1,0.219,3342.096,0.374,328.908,328.908,3341.878,0.156,328.69,11.661224,255,328.69,328.534,328.534,328.69,11.816424,18.95,18.908,0.042,0.002216,0.2%,363.273,0.108703,10.9%,309.782,0.942475,94.2%,0.056776,0.004869,0.5%,256,256,1,256,256,1,2978.605,18.908,11.606655,2959.697,5.0,5.0,4.0,5.0,9.231,3.553,3.553,2.859,5.0,3.553,445.05,591.524,695.723,129.0,129.0,129.0,0.11,0.085960784,21.91999992,22.029999919999998,22029.99992,255,255,1,1,255,255,1,scheduled_tokens,1
3,0,active_pair0_495df75c-b20a-4721-b684-ebfd875e0ec2,gpu_pair0_35b88be3-6dfc-4ad9-9250-a82cbdfb87dd,0,0.0,0.0,3,3,1,2,3,3,3,1,0.801,3305.21,0.954,117.025,117.025,3304.409,0.153,116.224,11.514616,255,116.224,116.071,116.071,116.224,12.502686,18.77,18.732,0.038,0.002025,0.2%,358.998,0.108642,10.9%,97.492,0.838828,83.9%,0.037867,0.003289,0.3%,256,256,1,256,256,1,2945.411,18.732,11.477173,2926.679,5.0,5.0,4.0,5.0,4.523,3.388,3.388,2.697,5.0,3.388,415.903,588.223,695.644,129.0,129.0,129.0,1.61,0.088196078,22.48999989,24.09999989,24099.99989,255,255,1,1,255,255,1,scheduled_tokens,1
