repeat_id,pair_id,active_request_id,gpu_request_id,min_batch_barrier_enabled_phase_b,min_batch_barrier_requested_ms_phase_b,min_batch_barrier_observed_ms_phase_b,min_batch_barrier_target_requests_phase_b,min_batch_barrier_actual_requests_phase_b,min_batch_barrier_excluded_from_latency_phase_b,first_non_warmup_iter_rows,first_non_warmup_num_requests_min,first_non_warmup_num_requests_max,first_non_warmup_min_batch_target,first_non_warmup_min_batch_ok_all_ranks,raw_to_latency_submit_gap_ms_phase_b,raw_e2e_ms_including_barrier_phase_b,raw_queue_ms_including_barrier_phase_b,raw_e2ft_ms_including_barrier_phase_b,ttft_actual_raw_including_barrier_ms_phase_b,e2e_ms_phase_b,queue_ms_phase_b,ttft_ms_phase_b,tpot_ms_phase_b,tpot_token_count,ttft_actual_ms_phase_b,ttft_compute_window_ms_phase_b,ttft_request_observed_ms_phase_b,e2ft_request_observed_ms_phase_b,tpot_request_observed_ms_phase_b,prefill_time_ms_phase_b,prefill_gpu_ms_phase_b,prefill_non_gpu_wall_ms,prefill_non_gpu_wall_ratio,prefill_non_gpu_wall_percent,e2e_non_gpu_wall_ms,e2e_non_gpu_wall_ratio,e2e_non_gpu_wall_percent,ttft_non_gpu_wall_ms,ttft_non_gpu_wall_ratio,ttft_non_gpu_wall_percent,tpot_non_gpu_wall_ms,tpot_non_gpu_wall_ratio,tpot_non_gpu_wall_percent,target_input_tokens,input_tokens,input_tokens_ok,target_output_tokens,output_tokens,output_tokens_ok,e2e_gpu_ms,ttft_gpu_ms,tpot_gpu_ms,tpot_gpu_total_ms,prefill_active_thread_count,prefill_active_thread_count_edge,prefill_active_thread_count_sample_p90,prefill_active_thread_count_union,prefill_effective_cpu_cores,decode_active_thread_count_avg,decode_active_thread_count_edge_avg,decode_active_thread_count_sample_p90_avg,decode_active_thread_count_sample_max_peak,decode_active_thread_count_union_avg,decode_effective_cpu_cores_avg,decode_effective_cpu_cores_p90,decode_effective_cpu_cores_max,prefill_total_threads_mean,decode_total_threads_mean_avg,decode_total_threads_max_peak,prefill_process_cpu_delta_s,decode_process_cpu_delta_s_avg,active_decode_process_cpu_delta_total_s_est,active_total_process_cpu_delta_s_est,active_total_process_cpu_core_ms_est,active_num_decode_steps,active_decode_steps_expected,active_decode_steps_match,gpu_num_prefill_iters,gpu_num_decode_iters,gpu_decode_iters_expected,gpu_decode_iters_match,gpu_stage_classification_method,all_iters_have_expected_tp_rows
0,0,active_pair0_00720ed9-0763-4a13-ac2f-93d9ea45def4,gpu_pair0_50b69560-787a-4fe4-ad03-bbe2a24d0925,0,0.0,0.0,3,3,1,2,3,3,3,1,0.829,3303.118,0.987,110.293,110.293,3302.289,0.158,109.465,11.523153,255,109.465,109.307,109.307,109.465,12.52088,18.765,18.728,0.038,0.002025,0.2%,355.003,0.107502,10.8%,90.737,0.828913,82.9%,0.039408,0.00342,0.3%,256,256,1,256,256,1,2947.286,18.728,11.484541,2928.558,5.0,5.0,4.0,5.0,438.844,3.212,3.212,2.632,5.0,3.212,374.85,497.275,692.026,145.0,145.0,145.0,0.1,0.105411765,26.880000075,26.980000075000003,26980.000075000004,255,255,1,1,255,255,1,scheduled_tokens,1
0,1,active_pair1_2b74f23d-7fa3-42f7-830b-93b4c0e5849f,gpu_pair1_97c58813-8ef0-465b-8d40-fd32da8fbb2b,0,0.0,0.0,3,3,1,2,3,3,3,1,0.487,3302.776,0.645,109.952,109.952,3302.289,0.158,109.465,11.523153,255,109.465,109.307,109.307,109.465,12.52088,18.765,18.728,0.038,0.002025,0.2%,355.003,0.107502,10.8%,90.737,0.828913,82.9%,0.039408,0.00342,0.3%,256,256,1,256,256,1,2947.286,18.728,11.484541,2928.558,5.0,5.0,4.0,5.0,438.844,3.212,3.212,2.632,5.0,3.212,374.85,497.275,692.026,145.0,145.0,145.0,0.1,0.105411765,26.880000075,26.980000075000003,26980.000075000004,255,255,1,1,255,255,1,scheduled_tokens,1
0,2,active_pair2_3f8a2b73-33b6-4f11-ae53-5ccb836adeb0,gpu_pair2_419b9941-ef43-428e-835e-c20593ecfe2b,0,0.0,0.0,3,3,1,2,3,3,3,1,0.224,3302.513,0.382,109.689,109.689,3302.289,0.158,109.465,11.523153,255,109.465,109.307,109.307,109.465,12.52088,18.765,18.728,0.038,0.002025,0.2%,355.003,0.107502,10.8%,90.737,0.828913,82.9%,0.039408,0.00342,0.3%,256,256,1,256,256,1,2947.286,18.728,11.484541,2928.558,5.0,5.0,4.0,5.0,438.844,3.212,3.212,2.632,5.0,3.212,374.85,497.275,692.026,145.0,145.0,145.0,0.1,0.105411765,26.880000075,26.980000075000003,26980.000075000004,255,255,1,1,255,255,1,scheduled_tokens,1
1,0,active_pair0_e4af59f2-a8d0-4658-9c21-bc533b56fa66,gpu_pair0_05cf8159-e617-454a-849a-b365168d2125,0,0.0,0.0,3,3,1,2,3,3,3,1,0.83,3307.973,0.991,50.414,50.414,3307.143,0.161,49.584,11.52482,255,49.584,49.423,49.423,49.584,12.774741,18.741,18.702,0.039,0.002081,0.2%,359.412,0.108678,10.9%,30.882,0.622824,62.3%,0.039039,0.003387,0.3%,256,256,1,256,256,1,2947.731,18.702,11.486388,2929.029,5.0,5.0,3.0,5.0,411.304,3.522,3.522,2.82,5.0,3.522,440.728,585.843,691.683,129.0,129.0,129.0,0.1,0.08345098,21.2799999,21.3799999,21379.999900000003,255,255,1,1,255,255,1,scheduled_tokens,1
1,1,active_pair1_9efb783c-e3a5-4e55-bbd5-10b09ca382d9,gpu_pair1_417c7230-f533-43e7-b348-4b9620aeb451,0,0.0,0.0,3,3,1,2,3,3,3,1,0.483,3307.626,0.645,50.068,50.068,3307.143,0.161,49.584,11.52482,255,49.584,49.423,49.423,49.584,12.774741,18.741,18.702,0.039,0.002081,0.2%,359.412,0.108678,10.9%,30.882,0.622824,62.3%,0.039039,0.003387,0.3%,256,256,1,256,256,1,2947.731,18.702,11.486388,2929.029,5.0,5.0,3.0,5.0,411.304,3.522,3.522,2.82,5.0,3.522,440.728,585.843,691.683,129.0,129.0,129.0,0.1,0.08345098,21.2799999,21.3799999,21379.999900000003,255,255,1,1,255,255,1,scheduled_tokens,1
1,2,active_pair2_830360b6-2217-4130-9f7e-bf47da0e7121,gpu_pair2_55f128a6-1271-4305-9736-708ace48f97a,0,0.0,0.0,3,3,1,2,3,3,3,1,0.223,3307.366,0.384,49.807,49.807,3307.143,0.161,49.584,11.52482,255,49.584,49.423,49.423,49.584,12.774741,18.741,18.702,0.039,0.002081,0.2%,359.412,0.108678,10.9%,30.882,0.622824,62.3%,0.039039,0.003387,0.3%,256,256,1,256,256,1,2947.731,18.702,11.486388,2929.029,5.0,5.0,3.0,5.0,411.304,3.522,3.522,2.82,5.0,3.522,440.728,585.843,691.683,129.0,129.0,129.0,0.1,0.08345098,21.2799999,21.3799999,21379.999900000003,255,255,1,1,255,255,1,scheduled_tokens,1
2,0,active_pair0_0942123d-9f57-4434-a677-1d1bf86e7031,gpu_pair0_3203e377-bf4e-4c37-aef6-f4dcb15bacbd,0,0.0,0.0,3,3,1,2,3,3,3,1,0.82,3319.583,0.976,73.477,73.477,3318.762,0.155,72.656,11.542729,255,72.656,72.501,72.501,72.656,12.729827,18.815,18.777,0.038,0.00202,0.2%,368.011,0.110888,11.1%,53.879,0.741565,74.2%,0.047039,0.004075,0.4%,256,256,1,256,256,1,2950.751,18.777,11.497937,2931.974,5.0,5.0,3.0,5.0,375.444,3.545,3.545,2.812,5.0,3.545,434.528,572.193,678.5,129.0,129.0,129.0,0.09,0.084784314,21.62000007,21.71000007,21710.00007,255,255,1,1,255,255,1,scheduled_tokens,1
2,1,active_pair1_13b5349c-69f8-431a-a35c-303d874f1841,gpu_pair1_746378ba-1fb3-4310-bb63-9e1131acaa27,0,0.0,0.0,3,3,1,2,3,3,3,1,0.478,3319.24,0.633,73.135,73.135,3318.762,0.155,72.656,11.542729,255,72.656,72.501,72.501,72.656,12.729827,18.815,18.777,0.038,0.00202,0.2%,368.011,0.110888,11.1%,53.879,0.741565,74.2%,0.047039,0.004075,0.4%,256,256,1,256,256,1,2950.751,18.777,11.497937,2931.974,5.0,5.0,3.0,5.0,375.444,3.545,3.545,2.812,5.0,3.545,434.528,572.193,678.5,129.0,129.0,129.0,0.09,0.084784314,21.62000007,21.71000007,21710.00007,255,255,1,1,255,255,1,scheduled_tokens,1
2,2,active_pair2_79c607ee-46d0-499f-9bff-d302b3bdf795,gpu_pair2_ef92570e-c8a2-4b68-9c77-fbe50996a313,0,0.0,0.0,3,3,1,2,3,3,3,1,0.22,3318.982,0.375,72.876,72.876,3318.762,0.155,72.656,11.542729,255,72.656,72.501,72.501,72.656,12.729827,18.815,18.777,0.038,0.00202,0.2%,368.011,0.110888,11.1%,53.879,0.741565,74.2%,0.047039,0.004075,0.4%,256,256,1,256,256,1,2950.751,18.777,11.497937,2931.974,5.0,5.0,3.0,5.0,375.444,3.545,3.545,2.812,5.0,3.545,434.528,572.193,678.5,129.0,129.0,129.0,0.09,0.084784314,21.62000007,21.71000007,21710.00007,255,255,1,1,255,255,1,scheduled_tokens,1
3,0,active_pair0_c0488842-309d-4e65-9d09-c55bb1b4dfa2,gpu_pair0_30dfd04f-b053-4011-8365-7e9e13e0fab7,0,0.0,0.0,3,3,1,2,3,3,3,1,0.834,3313.848,0.993,38.105,38.105,3313.013,0.158,37.27,11.524631,255,37.27,37.112,37.112,37.27,12.846051,18.795,18.756,0.039,0.002075,0.2%,365.29,0.110259,11.0%,18.514,0.496757,49.7%,0.038808,0.003367,0.3%,256,256,1,256,256,1,2947.723,18.756,11.486145,2928.967,5.0,5.0,4.0,5.0,5.728,3.247,3.247,2.591,5.0,3.247,387.348,530.4,764.198,129.0,129.0,129.0,0.38,0.099019608,25.25000004,25.63000004,25630.00004,255,255,1,1,255,255,1,scheduled_tokens,1
