repeat_id,pid,tid,process_role,process_name,thread_name,kernel_thread_comm,python_thread_name,first_global_step,last_global_step,unique_step_count,sample_rows,runnable_samples,active_samples,total_cpu_delta_ms,max_cpu_delta_ms_per_sample,involuntary_ctx_switch_delta_sum,voluntary_ctx_switch_delta_sum,common_wchan,locations,reason_flags,process_cmdline
3,1580791,1580791,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,14880.000000000024,89.9999999999963,97227,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0
3,1580792,1580792,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,13279.999999999858,90.00000000000341,109005,1,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1
3,1580785,1580785,vllm_engine_core,VLLM::EngineCore,VLLM::EngineCor,VLLM::EngineCor,,0,19,20,20,20,20,859.9999999999994,59.99999999999517,15267,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::EngineCore
3,1580792,1580826,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,23,225,3,3,2,1,9.999999999999998,9.999999999999998,0,25,ep_poll,Decode[21]|Decode[69]|Decode[223],runnable_R|cpu_delta_active,VLLM::Worker_TP1
3,1580791,1580827,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,20,136,2,2,2,0,0.0,0.0,0,18,ep_poll,Decode[18]|Decode[134],runnable_R,VLLM::Worker_TP0
3,1580791,1580815,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,13,67,2,2,1,1,9.999999999999998,9.999999999999998,0,17,ep_poll,Decode[11]|Decode[65],runnable_R|cpu_delta_active,VLLM::Worker_TP0
3,1580792,1580874,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,235,235,1,1,1,0,0.0,0.0,0,8,ep_poll,Decode[233],runnable_R,VLLM::Worker_TP1
3,1580773,1580773,driver_main_process,python3,MainThread,python3,MainThread,0,256,257,257,0,257,5160.0,30.00000000000469,1326,825,futex_wait_queue_me,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],cpu_delta_active;involuntary_ctx_switch,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active
3,1580773,1580962,driver_main_process,python3,EngineCoreOutputQueueThread,python3,EngineCoreOutputQueueThread,7,7,1,1,0,1,10.0,10.0,0,5,do_poll.constprop.0,Decode[5],cpu_delta_active,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active
3,1580792,1580812,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,121,121,1,1,0,1,10.0,10.0,0,4,ep_poll,Decode[119],cpu_delta_active,VLLM::Worker_TP1
