repeat_id,global_step,sample_idx,t_rel_ms,logical_location,step_stage,pair_ids_in_step,decode_iter_indices,request_location_detail,available_cores_x,available_cores_y,sample_runnable_thread_count,sample_runnable_over_core,sample_active_thread_count,sample_active_over_core,step_cpu_utilization_ratio,step_runnable_over_core_p90,step_active_over_core_p90,contention_reasons,pid,tid,ppid,process_role,process_name,thread_name,kernel_thread_comm,python_thread_name,state,is_runnable,is_active_by_cpu_delta,cpu_delta_ms_since_prev_sample,involuntary_ctx_switch_delta_since_prev_sample,voluntary_ctx_switch_delta_since_prev_sample,wchan,last_cpu,reason_flags,process_cmdline,decode_iter_min,decode_iter_max,min_batch_barrier_enabled,min_batch_barrier_observed_ms,min_batch_barrier_actual_requests,latency_baseline_reset_after_add_loop,step_wall_ms,step_effective_cpu_cores,step_runnable_thread_count_p90,step_runnable_thread_count_max,step_runnable_over_core_max,step_active_over_core_max,step_involuntary_ctx_switch_delta,step_voluntary_ctx_switch_delta,event_filter_note,available_cores,step_available_cores
4,86,0,39.87770900130272,Decode[84],Decode,0|1|2,84,pair0:Decode[84]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[84]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[84]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,2,0,3,1,429.1169610895029,0.0,1.0,active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581240,1581240,1581234,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,R,1,1,30.000000000001137,3629,0,0,0,runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0                                                                                ,84,84,0,0.0,3,1,0.186,858.2339221790058,2.0,2.0,0.0,1.0,14802,111,contention_suspected,2,2
4,86,0,39.94673490524292,Decode[84],Decode,0|1|2,84,pair0:Decode[84]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[84]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[84]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,2,0,3,1,429.1169610895029,0.0,1.0,active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581241,1581241,1581234,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,R,1,1,19.99999999999602,3654,0,0,0,runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1                                                                                ,84,84,0,0.0,3,1,0.186,858.2339221790058,2.0,2.0,0.0,1.0,14802,111,contention_suspected,2,2
4,86,0,39.84283283352852,Decode[84],Decode,0|1|2,84,pair0:Decode[84]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[84]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[84]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,2,0,3,1,429.1169610895029,0.0,1.0,active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581222,1581222,1579398,driver_main_process,python3,MainThread,python3,MainThread,S,0,1,30.000000000001137,4,4,futex_wait_queue_me,1,cpu_delta_active;involuntary_ctx_switch,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active,84,84,0,0.0,3,1,0.186,858.2339221790058,2.0,2.0,0.0,1.0,14802,111,contention_suspected,2,2
4,87,0,39.800189435482025,Decode[85],Decode,0|1|2,85,pair0:Decode[85]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[85]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[85]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,2,0,3,1,282.68528883944884,0.0,1.0,active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581241,1581241,1581234,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,R,1,1,30.000000000001137,3588,0,0,0,runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1                                                                                ,85,85,0,0.0,3,1,0.301,565.3705776788977,2.0,2.0,0.0,1.0,9291,130,contention_suspected,2,2
4,87,0,39.730750024318695,Decode[85],Decode,0|1|2,85,pair0:Decode[85]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[85]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[85]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,2,0,3,1,282.68528883944884,0.0,1.0,active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581240,1581240,1581234,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,R,1,1,19.99999999999602,3601,0,0,0,runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0                                                                                ,85,85,0,0.0,3,1,0.301,565.3705776788977,2.0,2.0,0.0,1.0,9291,130,contention_suspected,2,2
4,87,0,39.6952023729682,Decode[85],Decode,0|1|2,85,pair0:Decode[85]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[85]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[85]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,2,0,3,1,282.68528883944884,0.0,1.0,active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581222,1581222,1579398,driver_main_process,python3,MainThread,python3,MainThread,S,0,1,30.000000000001137,4,4,futex_wait_queue_me,1,cpu_delta_active;involuntary_ctx_switch,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active,85,85,0,0.0,3,1,0.301,565.3705776788977,2.0,2.0,0.0,1.0,9291,130,contention_suspected,2,2
4,88,0,74.08546842634678,Decode[86],Decode,0|1|2,86,pair0:Decode[86]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[86]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[86]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,3,1,3,1,839.9312201585594,1.0,1.0,runnable_p90_over_core;runnable_max_over_core;active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581240,1581240,1581234,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,R,1,1,59.99999999999517,18,0,0,1,runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0                                                                                ,86,86,0,0.0,3,1,0.19,1679.8624403171189,3.0,3.0,1.0,1.0,65,199,contention_suspected,2,2
4,88,0,74.15467780083418,Decode[86],Decode,0|1|2,86,pair0:Decode[86]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[86]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[86]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,3,1,3,1,839.9312201585594,1.0,1.0,runnable_p90_over_core;runnable_max_over_core;active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581241,1581241,1581234,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,R,1,1,59.99999999999517,15,0,0,0,runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1                                                                                ,86,86,0,0.0,3,1,0.19,1679.8624403171189,3.0,3.0,1.0,1.0,65,199,contention_suspected,2,2
4,88,0,74.1965314373374,Decode[86],Decode,0|1|2,86,pair0:Decode[86]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[86]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[86]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,3,1,3,1,839.9312201585594,1.0,1.0,runnable_p90_over_core;runnable_max_over_core;active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581241,1581319,1581234,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,R,1,0,0.0,0,8,ep_poll,1,runnable_R,VLLM::Worker_TP1                                                                                ,86,86,0,0.0,3,1,0.19,1679.8624403171189,3.0,3.0,1.0,1.0,65,199,contention_suspected,2,2
4,88,0,74.05017409473658,Decode[86],Decode,0|1|2,86,pair0:Decode[86]:req=active_pair0_753d7e0e-2cbe-4f1c-9c7a-ea7e7ce1dd1 | pair1:Decode[86]:req=active_pair1_7f5e8e7b-c29f-4e0b-bc19-e464edf5907 | pair2:Decode[86]:req=active_pair2_8bc8637c-ea52-4aaf-8493-40abe005344,2,2,3,1,3,1,839.9312201585594,1.0,1.0,runnable_p90_over_core;runnable_max_over_core;active_p90_over_core;active_max_over_core;cpu_util_ge_0.85;involuntary_context_switch,1581222,1581222,1579398,driver_main_process,python3,MainThread,python3,MainThread,S,0,1,30.000000000001137,5,3,futex_wait_queue_me,1,cpu_delta_active;involuntary_ctx_switch,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active,86,86,0,0.0,3,1,0.19,1679.8624403171189,3.0,3.0,1.0,1.0,65,199,contention_suspected,2,2
