repeat_id,pair_id,active_request_id,gpu_request_id,min_batch_barrier_enabled_phase_b,min_batch_barrier_requested_ms_phase_b,min_batch_barrier_observed_ms_phase_b,min_batch_barrier_target_requests_phase_b,min_batch_barrier_actual_requests_phase_b,min_batch_barrier_excluded_from_latency_phase_b,first_non_warmup_iter_rows,first_non_warmup_num_requests_min,first_non_warmup_num_requests_max,first_non_warmup_min_batch_target,first_non_warmup_min_batch_ok_all_ranks,raw_to_latency_submit_gap_ms_phase_b,raw_e2e_ms_including_barrier_phase_b,raw_queue_ms_including_barrier_phase_b,raw_e2ft_ms_including_barrier_phase_b,ttft_actual_raw_including_barrier_ms_phase_b,e2e_ms_phase_b,queue_ms_phase_b,ttft_ms_phase_b,tpot_ms_phase_b,tpot_token_count,ttft_actual_ms_phase_b,ttft_compute_window_ms_phase_b,ttft_request_observed_ms_phase_b,e2ft_request_observed_ms_phase_b,tpot_request_observed_ms_phase_b,prefill_time_ms_phase_b,prefill_gpu_ms_phase_b,prefill_non_gpu_wall_ms,prefill_non_gpu_wall_ratio,prefill_non_gpu_wall_percent,e2e_non_gpu_wall_ms,e2e_non_gpu_wall_ratio,e2e_non_gpu_wall_percent,ttft_non_gpu_wall_ms,ttft_non_gpu_wall_ratio,ttft_non_gpu_wall_percent,tpot_non_gpu_wall_ms,tpot_non_gpu_wall_ratio,tpot_non_gpu_wall_percent,target_input_tokens,input_tokens,input_tokens_ok,target_output_tokens,output_tokens,output_tokens_ok,e2e_gpu_ms,ttft_gpu_ms,tpot_gpu_ms,tpot_gpu_total_ms,prefill_active_thread_count,prefill_active_thread_count_edge,prefill_active_thread_count_sample_p90,prefill_active_thread_count_union,prefill_effective_cpu_cores,decode_active_thread_count_avg,decode_active_thread_count_edge_avg,decode_active_thread_count_sample_p90_avg,decode_active_thread_count_sample_max_peak,decode_active_thread_count_union_avg,decode_effective_cpu_cores_avg,decode_effective_cpu_cores_p90,decode_effective_cpu_cores_max,prefill_total_threads_mean,decode_total_threads_mean_avg,decode_total_threads_max_peak,prefill_process_cpu_delta_s,decode_process_cpu_delta_s_avg,active_decode_process_cpu_delta_total_s_est,active_total_process_cpu_delta_s_est,active_total_process_cpu_core_ms_est,active_num_decode_steps,active_decode_steps_expected,active_decode_steps_match,gpu_num_prefill_iters,gpu_num_decode_iters,gpu_decode_iters_expected,gpu_decode_iters_match,gpu_stage_classification_method,all_iters_have_expected_tp_rows
6,2,active_pair2_fd8520a8-de15-413f-8984-22e23c922b4f,gpu_pair2_3efc299c-a64f-486a-80e7-5b012034c55e,0,0.0,0.0,3,3,1,2,3,3,3,1,0.223,3285.927,0.445,29.445,29.445,3285.704,0.222,29.222,11.522973,255,29.222,29.0,29.0,29.222,12.770518,18.668,18.63,0.038,0.002036,0.2%,338.437,0.103003,10.3%,10.592,0.362458,36.2%,0.038447,0.003337,0.3%,256,256,1,256,256,1,2947.267,18.63,11.484851,2928.637,5.0,5.0,4.0,5.0,466.581,3.518,3.518,2.753,5.0,3.518,447.188,591.078,734.854,129.0,129.0,129.0,0.11,0.084078431,21.439999905,21.549999905,21549.999905,255,255,1,1,255,255,1,scheduled_tokens,1
7,0,active_pair0_f0d7d3c3-dc0c-4f38-8c70-231ade97272e,gpu_pair0_dc02a190-f18a-470d-80f9-f323f08e64de,0,0.0,0.0,3,3,1,2,3,3,3,1,0.804,3272.057,0.963,24.064,24.064,3271.253,0.16,23.261,11.516843,255,23.261,23.101,23.101,23.261,12.737226,18.745,18.707,0.037,0.001974,0.2%,325.466,0.099493,9.9%,4.554,0.195764,19.6%,0.038302,0.003326,0.3%,256,256,1,256,256,1,2945.787,18.707,11.478745,2927.08,4.0,4.0,3.0,4.0,487.613,3.522,3.522,2.773,5.0,3.522,438.904,583.038,660.933,129.0,129.0,129.0,0.11,0.082901961,21.140000054999998,21.250000054999997,21250.000054999997,255,255,1,1,255,255,1,scheduled_tokens,1
7,1,active_pair1_04bbaa9f-dbd0-4ad7-a897-7a36ddc40686,gpu_pair1_9cec33b2-16cd-48e4-b5d8-e8acdc8892c8,0,0.0,0.0,3,3,1,2,3,3,3,1,0.47,3271.724,0.63,23.731,23.731,3271.253,0.16,23.261,11.516843,255,23.261,23.101,23.101,23.261,12.737226,18.745,18.707,0.037,0.001974,0.2%,325.466,0.099493,9.9%,4.554,0.195764,19.6%,0.038302,0.003326,0.3%,256,256,1,256,256,1,2945.787,18.707,11.478745,2927.08,4.0,4.0,3.0,4.0,487.613,3.522,3.522,2.773,5.0,3.522,438.904,583.038,660.933,129.0,129.0,129.0,0.11,0.082901961,21.140000054999998,21.250000054999997,21250.000054999997,255,255,1,1,255,255,1,scheduled_tokens,1
7,2,active_pair2_024b4883-f1ff-4a10-9e07-c89e7ebadbcd,gpu_pair2_dd24e526-68f9-4a0e-9665-28bee5a1b519,0,0.0,0.0,3,3,1,2,3,3,3,1,0.219,3271.472,0.379,23.48,23.48,3271.253,0.16,23.261,11.516843,255,23.261,23.101,23.101,23.261,12.737226,18.745,18.707,0.037,0.001974,0.2%,325.466,0.099493,9.9%,4.554,0.195764,19.6%,0.038302,0.003326,0.3%,256,256,1,256,256,1,2945.787,18.707,11.478745,2927.08,4.0,4.0,3.0,4.0,487.613,3.522,3.522,2.773,5.0,3.522,438.904,583.038,660.933,129.0,129.0,129.0,0.11,0.082901961,21.140000054999998,21.250000054999997,21250.000054999997,255,255,1,1,255,255,1,scheduled_tokens,1
8,0,active_pair0_1d5d6d6a-ea7a-4fc0-bdfd-ea9cbedf0f7f,gpu_pair0_0657a652-6653-4714-93d1-3e62c5d0391a,0,0.0,0.0,3,3,1,2,3,3,3,1,0.834,3300.198,1.003,29.651,29.651,3299.364,0.169,28.817,11.522161,255,28.817,28.648,28.648,28.817,12.825672,18.762,18.723,0.039,0.002079,0.2%,352.119,0.106723,10.7%,10.094,0.350284,35.0%,0.038247,0.003319,0.3%,256,256,1,256,256,1,2947.245,18.723,11.4844,2928.522,5.0,5.0,3.0,5.0,528.05,3.486,3.486,2.765,5.0,3.486,445.761,591.676,705.399,129.0,129.0,129.0,0.12,0.08345098,21.2799999,21.3999999,21399.999900000003,255,255,1,1,255,255,1,scheduled_tokens,1
8,1,active_pair1_6d078d1e-ebe2-436b-aea1-9729629f9321,gpu_pair1_364ef010-c6de-42d5-8909-d7de3ac032ad,0,0.0,0.0,3,3,1,2,3,3,3,1,0.48,3299.844,0.649,29.297,29.297,3299.364,0.169,28.817,11.522161,255,28.817,28.648,28.648,28.817,12.825672,18.762,18.723,0.039,0.002079,0.2%,352.119,0.106723,10.7%,10.094,0.350284,35.0%,0.038247,0.003319,0.3%,256,256,1,256,256,1,2947.245,18.723,11.4844,2928.522,5.0,5.0,3.0,5.0,528.05,3.486,3.486,2.765,5.0,3.486,445.761,591.676,705.399,129.0,129.0,129.0,0.12,0.08345098,21.2799999,21.3999999,21399.999900000003,255,255,1,1,255,255,1,scheduled_tokens,1
8,2,active_pair2_53c32026-a2d7-4f94-ad48-6920a863fdef,gpu_pair2_5d5bab21-503c-4cbf-8637-6b4c2761f938,0,0.0,0.0,3,3,1,2,3,3,3,1,0.22,3299.584,0.39,29.038,29.038,3299.364,0.169,28.817,11.522161,255,28.817,28.648,28.648,28.817,12.825672,18.762,18.723,0.039,0.002079,0.2%,352.119,0.106723,10.7%,10.094,0.350284,35.0%,0.038247,0.003319,0.3%,256,256,1,256,256,1,2947.245,18.723,11.4844,2928.522,5.0,5.0,3.0,5.0,528.05,3.486,3.486,2.765,5.0,3.486,445.761,591.676,705.399,129.0,129.0,129.0,0.12,0.08345098,21.2799999,21.3999999,21399.999900000003,255,255,1,1,255,255,1,scheduled_tokens,1
9,0,active_pair0_6f4b1a1d-581b-4867-a2b6-531a096e00a2,gpu_pair0_94321d15-cdc1-4135-9f82-262fe0e8fde4,0,0.0,0.0,3,3,1,2,3,3,3,1,0.845,3299.551,1.004,167.051,167.051,3298.706,0.159,166.206,11.516322,255,166.206,166.047,166.047,166.206,12.284313,18.787,18.751,0.037,0.001969,0.2%,352.806,0.106953,10.7%,147.455,0.887182,88.7%,0.03769,0.003273,0.3%,256,256,1,256,256,1,2945.9,18.751,11.479016,2927.149,5.0,5.0,4.0,5.0,513.701,3.533,3.533,2.827,5.0,3.533,438.945,585.389,702.728,129.0,129.0,129.0,0.12,0.082823529,21.119999895000003,21.239999895000004,21239.999895000004,255,255,1,1,255,255,1,scheduled_tokens,1
9,1,active_pair1_3dffb32a-1cb1-43ba-9708-00d18bba8175,gpu_pair1_fe86c87f-fdb5-4b8e-8533-010ebc94c90a,0,0.0,0.0,3,3,1,2,3,3,3,1,0.484,3299.19,0.643,166.69,166.69,3298.706,0.159,166.206,11.516322,255,166.206,166.047,166.047,166.206,12.284313,18.787,18.751,0.037,0.001969,0.2%,352.806,0.106953,10.7%,147.455,0.887182,88.7%,0.03769,0.003273,0.3%,256,256,1,256,256,1,2945.9,18.751,11.479016,2927.149,5.0,5.0,4.0,5.0,513.701,3.533,3.533,2.827,5.0,3.533,438.945,585.389,702.728,129.0,129.0,129.0,0.12,0.082823529,21.119999895000003,21.239999895000004,21239.999895000004,255,255,1,1,255,255,1,scheduled_tokens,1
9,2,active_pair2_2204dc9b-82de-486b-a410-03febaffef06,gpu_pair2_41b8226e-1f7c-4cb3-8650-4d16be579331,0,0.0,0.0,3,3,1,2,3,3,3,1,0.222,3298.927,0.381,166.428,166.428,3298.706,0.159,166.206,11.516322,255,166.206,166.047,166.047,166.206,12.284313,18.787,18.751,0.037,0.001969,0.2%,352.806,0.106953,10.7%,147.455,0.887182,88.7%,0.03769,0.003273,0.3%,256,256,1,256,256,1,2945.9,18.751,11.479016,2927.149,5.0,5.0,4.0,5.0,513.701,3.533,3.533,2.827,5.0,3.533,438.945,585.389,702.728,129.0,129.0,129.0,0.12,0.082823529,21.119999895000003,21.239999895000004,21239.999895000004,255,255,1,1,255,255,1,scheduled_tokens,1
